sid,cid,ssn,fname,lname,gpa,dob,email,address
419661,540749,559-08-3058,Jerome,Duffy,2,1966-11-24,jennifer90@example.org,"86422 Robert Village Suite 514, Moorehaven, KS 15206"
110942,744463,337-43-8299,Shane,Fox,0,1968-04-29,michelejackson@example.net,"38539 Kane Expressway Apt. 141, New Sarahville, GU 37767"
243085,770272,038-32-9996,Elizabeth,Vazquez,4,1966-04-15,wilkersonlogan@example.com,"13800 Dawson Mall Apt. 687, West Angelamouth, MO 74980"
780591,872723,472-63-8719,Danny,Roberts,4,2010-09-08,courtney87@example.net,"5578 Barbara Stream Apt. 842, South Kelly, KY 51140"
362261,867279,135-95-7657,Teresa,Warner,4,1999-11-02,jamesstacy@example.org,"4051 Arnold Roads, South Kimberly, AR 98999"
213225,124711,059-82-3543,Ryan,Dyer,2,1942-07-26,lisa94@example.com,"2515 Sanchez Flat, Lake Jacob, ND 19455"
760160,132243,474-56-3555,Bryan,Allen,4,2018-02-18,laura70@example.com,"514 Baker Motorway, West Kimberlyport, HI 90818"
196223,820978,776-70-0389,Cody,Shah,1,1935-09-12,walkerelizabeth@example.org,"72818 Todd Manors Apt. 414, Port Cherylfort, MH 72979"
241751,551508,238-48-4536,Todd,Martin,1,2021-12-10,rsnyder@example.net,"USNV Wilson, FPO AA 01450"
552869,125474,647-62-8286,Michael,Martinez,3,2010-02-06,bankshannah@example.com,"USNV Delacruz, FPO AA 69331"
840498,322371,882-36-4446,Tristan,Reed,2,1950-04-16,lbrown@example.net,"1694 Brown Ferry, Port Samantha, AS 43011"
312697,335226,450-36-7483,Ruben,White,3,1959-10-23,shelleybrady@example.com,"28467 Frank Cape Apt. 381, Morenoberg, AR 60582"
383376,726858,708-37-0210,Lisa,Stephenson,4,2011-12-29,scott26@example.com,"189 Rios Fall Apt. 829, Nguyenberg, TN 62291"
308709,949370,543-57-5761,Kimberly,Clark,4,2002-07-15,brittney48@example.org,"4591 Christopher Trail, West Amy, HI 58780"
976670,365793,100-85-9276,Sarah,Thomas,1,1962-08-08,robertcase@example.net,"53641 Sarah Land, South Heathertown, NE 97605"
729777,374834,031-04-2701,Ricky,Stuart,0,1951-05-30,tylermatthew@example.com,"01721 Todd Divide Apt. 097, New James, OK 93498"
984539,770272,781-39-3019,Nathaniel,Morgan,3,1914-03-26,johncoffey@example.com,"448 West Ports Apt. 011, East Oliviaport, PA 12577"
227461,517230,679-46-6878,Susan,Hill,2,1969-03-05,lmarsh@example.org,"Unit 6869 Box 0677, DPO AE 07653"
910460,767097,607-08-0473,Bonnie,Hancock,3,2024-11-02,mreyes@example.org,"5786 Miller Lodge Suite 943, Ericstad, FL 71803"
582202,551508,082-22-0517,Monica,Diaz,0,1940-01-16,campbelljennifer@example.com,"Unit 5250 Box 2988, DPO AA 98231"
354562,990824,439-85-5311,Devin,Hartman,1,1946-05-09,jamesmartin@example.com,"683 Robert Fort Apt. 110, South Jennifertown, CT 14810"
658521,347496,697-83-2913,Rebecca,Miller,2,1938-02-21,ojackson@example.com,"77770 Perry Hollow, West Amandatown, WA 13733"
246970,551508,867-91-3869,Jessica,Wilson,3,2015-02-11,corey72@example.org,"1694 Schaefer Extensions Suite 438, East Derek, AL 73445"
995331,783284,516-99-4553,Victoria,Cox,2,1944-09-28,kimberly69@example.com,"6423 Heather Village, North Michael, TN 13847"
929649,877904,120-66-8922,Alexis,Spencer,0,1973-01-14,barrettstephen@example.org,"Unit 0192 Box 8155, DPO AA 89625"
597861,374834,758-08-6458,April,Moses,3,1944-06-06,jennyfrederick@example.org,"3644 Ryan Route Apt. 811, Kendraland, GA 87172"
223842,219023,633-31-2005,Michael,Ellis,1,2023-06-11,wjackson@example.net,"093 Steven Lodge Apt. 638, Jacksonburgh, PR 17992"
882303,124711,844-80-1098,Xavier,Fischer,2,1977-04-19,anthony82@example.org,"9587 Koch Point Suite 773, West Rebeccafort, OH 09254"
782692,442296,446-20-2220,Stephanie,Adkins,0,2007-02-20,anthony33@example.com,"9309 Robinson Plain, Christinetown, OR 07438"
888076,551508,776-31-3139,Kristy,Hamilton,2,1912-01-08,leonardderek@example.net,"551 Megan Alley, Oliviaport, DC 78847"
583059,486559,837-25-1787,Blake,Lynn,4,1977-04-13,caitlyn73@example.net,"91037 Sherry Roads Apt. 701, New Alexander, GU 37067"
227383,398324,334-43-9295,Kimberly,West,4,2024-05-12,kelli58@example.com,"54195 Brown Lane Apt. 590, Leahmouth, AL 41428"
391439,969190,434-19-0608,Lauren,Fisher,1,1995-01-07,alexandrabrown@example.net,"816 Aguilar Ridge Apt. 536, Martinstad, IA 12126"
903846,734574,392-74-9494,Benjamin,Davis,4,1951-11-07,williamskathryn@example.org,"43325 Holland Ranch Apt. 214, West Christytown, PR 41515"
901728,127534,588-77-1245,Michelle,Carlson,2,2000-06-25,pamela76@example.net,"23122 Koch Inlet, West Kevinborough, WI 88342"
256249,925024,010-28-4814,Jerry,Mccann,1,1971-09-28,jenniferroberts@example.net,"3608 Erika Trafficway Apt. 716, Shawnshire, AL 69266"
837045,231750,582-49-2529,Alexander,Clark,2,1972-10-13,xlamb@example.net,"95387 Wood Circle Apt. 534, West Michelle, VA 63084"
585644,566186,426-65-8141,Kyle,Jones,4,1968-06-14,timothymartin@example.net,"0882 Charles Estates, Lake Brianburgh, GU 10230"
437646,566186,512-76-1734,Sara,Patton,4,1920-11-18,zedwards@example.net,"03878 Jason Points, Knighthaven, OR 64655"
440431,347496,155-82-3718,Andre,Marshall,4,1922-03-27,maria16@example.net,"147 Mary Fort, Danielhaven, IL 83971"
533438,566186,212-48-6361,Brian,Phillips,3,1913-01-23,heatherjenkins@example.org,"529 Cox River, Ianside, MN 43179"
318462,540749,850-53-0848,Justin,Chavez,3,1919-03-12,destinymcclain@example.com,"896 Stephen Garden Apt. 198, Williamshaven, AK 37599"
365824,767097,788-47-2788,April,Smith,0,1962-02-08,chambersmargaret@example.com,"5607 Jesse Port, New Shannon, WA 44762"
270545,219023,837-54-1884,Brandon,Smith,0,1953-12-09,brent62@example.net,"91498 Stephen Flat Apt. 387, Elizabethshire, CT 12416"
211457,263226,830-14-9135,Alicia,Rodriguez,3,1959-10-25,jcollins@example.org,"602 Russo Lake Suite 667, South Frederickhaven, CT 94562"
158915,925024,037-49-4334,Margaret,Medina,3,1948-05-19,thaynes@example.com,"Unit 3674 Box 1143, DPO AE 55324"
952320,820978,806-30-0010,Steve,Smith,4,1913-01-28,thughes@example.com,"497 Le Cape, Mariastad, CO 97796"
941693,566186,252-57-9052,Margaret,Smith,0,1978-03-19,sandra54@example.com,"293 Spears Path Suite 875, Port Brandonbury, ND 24296"
532061,714099,446-39-0528,Ellen,Frost,4,1982-06-16,perkinsjennifer@example.com,"4938 Chambers Lights Suite 328, Natashahaven, ID 88662"
405783,726858,351-76-6914,Marissa,Williams,2,1953-06-04,cheryl57@example.org,"2475 Barron Mills, South Nicholaston, NM 23272"
280313,517230,667-29-9237,Tammy,Kaiser,2,1917-06-17,arobinson@example.net,"USNS Dougherty, FPO AA 06785"
765513,734574,501-78-6910,Karen,Hanson,2,1961-06-03,cheryl59@example.net,"540 Green Underpass Suite 131, Hatfieldbury, NE 71362"
199095,767097,189-89-8899,Elizabeth,Hobbs,2,1952-02-20,haleyelizabeth@example.org,"196 David Wells, Patriciahaven, LA 26970"
912687,448553,072-71-5341,Michael,Gregory,4,1992-12-03,bishopjaime@example.org,"Unit 1232 Box 6210, DPO AP 48782"
963760,867279,331-54-2597,Matthew,David,3,1917-05-23,fnguyen@example.com,"39930 Diana Rue, Frankfort, DE 99295"
727109,132518,527-61-0414,Tricia,Wells,2,1990-12-18,martinezlouis@example.net,"4358 Michael View, West Jeremy, NC 07787"
127253,770698,758-20-6234,Ann,Washington,0,2013-07-15,michael60@example.net,"14777 Sharp Spurs, New Antonioton, SD 79465"
897730,575015,896-41-6250,Angela,Obrien,4,1988-02-04,dustin52@example.net,"USCGC Ramirez, FPO AE 15527"
307842,770698,253-61-9214,Carmen,Charles,0,1981-02-03,shelley36@example.net,"87671 Gonzales Lodge, North Stacey, NE 01872"
561381,949370,839-49-7090,John,Brooks,1,1987-03-04,yrobinson@example.org,"765 Kim Road, Jonesstad, NC 24136"
876202,132243,549-75-3720,Robert,Freeman,0,1968-05-08,acampbell@example.net,"179 Diana Rue, East Marioburgh, NM 74623"
205706,322371,786-60-5745,Donna,Garcia,2,1962-06-17,scott67@example.org,"9726 Stewart Streets, Robertfort, MN 61097"
622720,448553,232-41-0034,Daniel,Li,1,1910-01-19,janechurch@example.org,"60238 Keith Groves Suite 374, Travishaven, AZ 54382"
816978,757267,763-85-2053,Elizabeth,Harrison,0,1981-08-11,sherrigray@example.com,"464 Frazier Grove Apt. 709, Christineland, MN 08879"
985428,789892,470-92-4497,Sharon,Thomas,1,1976-06-25,jenniferfranklin@example.org,"748 Knapp Mount Apt. 552, Williamfort, VA 45022"
690176,770272,322-42-5626,Michelle,Smith,2,2012-01-01,candicelee@example.org,"Unit 0450 Box 5723, DPO AA 30810"
768670,219023,558-12-3767,Roberto,Johnson,1,2010-11-27,kara26@example.net,"73067 Johnson Roads Apt. 614, Benjamintown, NE 80711"
295769,654726,617-08-3284,Benjamin,Whitaker,1,1920-04-01,asantiago@example.com,"07514 Jenna Court, East Andrew, PA 13458"
279590,263226,383-06-5617,Stephen,Myers,4,2016-08-19,brandonwoodard@example.org,"36456 Paul Point Suite 366, Mooreville, NC 23498"
341224,517230,490-72-1507,Erica,Brady,0,1954-02-22,ohahn@example.net,"USS Jackson, FPO AP 47975"
736620,877904,344-47-4624,Andrew,Davis,2,1952-10-16,csherman@example.net,"6724 Kelly Light Apt. 192, New Deannaside, NM 15504"
126630,263226,464-58-2762,Gabrielle,Gomez,4,2005-11-06,fbrooks@example.com,"450 Steven Ferry, East Raven, TN 02548"
400329,374834,290-79-7619,Stephen,Morgan,0,1964-04-13,angelasmith@example.net,"576 Hall Ports, Port Mark, MT 91941"
528680,124711,045-73-2350,Kathleen,Manning,1,1959-04-01,obrienjulie@example.org,"34073 Jennifer Gateway, New John, AL 05996"
465116,925024,709-53-4549,Joseph,Collier,4,1911-07-04,lindsay10@example.com,"100 Crawford Springs Suite 198, North Michaelborough, IL 17595"
309298,566186,145-19-5731,Joseph,Salazar,3,1921-04-09,nholder@example.com,"8541 Wallace Forge, West Jesse, PR 58714"
299688,770272,428-96-4628,Brian,Burton,1,1926-11-24,elizabeth95@example.com,"4946 Cooke Light Apt. 785, North Timothy, AR 41973"
223387,132518,012-64-9938,Victoria,Johnson,1,1913-05-20,rpowell@example.net,"878 Hernandez Square, Brittanybury, CA 11117"
628436,789892,601-32-0500,Daniel,Riggs,1,1977-02-01,samantha43@example.org,"9366 Evans Villages Suite 383, Gregoryfurt, SC 04614"
558367,714099,702-76-0709,Jessica,Dominguez,2,2017-03-28,andrewvasquez@example.com,"2675 Christopher Street Apt. 937, New Xavier, KY 87826"
461029,105330,776-62-2685,Lisa,Campbell,1,1994-09-09,jennifer61@example.org,"0419 Patricia Loaf, South Kelliefort, KY 48806"
411516,949370,444-81-6975,Valerie,Peterson,4,1925-06-29,gperry@example.org,"765 Figueroa Bypass, North Carolynfurt, OH 39544"
690341,757267,547-10-4091,Samantha,Terry,0,1916-04-03,cjones@example.com,"06941 Jonathan Ford Suite 065, Port Jessicaborough, RI 89394"
390499,540749,554-17-7393,Christina,Ross,3,1942-06-17,jennifer11@example.org,"88543 Beth Haven Suite 427, North Georgebury, MH 69078"
646697,949370,215-24-3573,Tiffany,Reid,4,1916-02-02,davidburnett@example.net,"389 Palmer Walk, New Latoya, IN 49832"
369228,990824,496-10-9240,Renee,Rogers,2,1972-04-04,williambright@example.org,"48785 Scott Springs Suite 731, Taylormouth, SC 67543"
423817,320249,129-93-3882,Holly,Clarke,3,1945-08-12,brandon44@example.com,"894 Horton Island Apt. 673, Johnland, ID 90103"
896671,125474,415-91-8476,Lisa,Stephens,0,1998-04-03,welliott@example.net,"084 Pamela Crossroad, Port Lauramouth, UT 57609"
219087,949370,402-19-7495,Brandon,Mendoza,1,1949-01-17,russellvincent@example.com,"77417 Thomas Villages Suite 792, Joneschester, OR 28676"
117253,335226,180-56-4749,Katherine,Oconnell,4,1978-05-07,fergusonkimberly@example.org,"72555 Scott Plains Apt. 764, Mayhaven, WY 27657"
692578,767097,742-34-5694,Elizabeth,Kaiser,0,1977-01-18,natalie81@example.net,"068 Nguyen Well, Englishmouth, PA 45593"
918904,442296,320-97-3787,Tracy,Martinez,1,1944-08-13,dakotalogan@example.org,"Unit 7238 Box 2232, DPO AP 42366"
212844,877904,740-71-8896,Tara,Jackson,0,1946-10-17,susan01@example.net,"485 Phillip Motorway Suite 734, South Ericview, VI 80428"
871167,335226,618-14-8224,Adam,Nguyen,2,1989-08-27,hclay@example.org,"6781 Sarah Radial, West Paulbury, IA 42501"
975344,783284,810-68-3935,Kenneth,Warren,4,1961-01-09,christinebass@example.org,"589 Dennis Expressway, Lake Matthewbury, ID 14699"
886920,789892,868-45-0119,Brenda,Conner,1,1934-06-04,jesusbenson@example.org,"PSC 1501, Box 4475, APO AA 61554"
701204,714099,065-32-8176,Kim,Hayden,3,1993-08-23,kevindudley@example.com,"19487 Gutierrez Mount Apt. 136, Jessicashire, NH 87930"
991604,594553,793-26-2968,Alyssa,Barker,0,1926-07-27,catherinereeves@example.org,"3716 Meyers Prairie Apt. 794, Collinsmouth, PA 49879"
150973,872723,016-52-7344,Jesse,Lambert,4,1987-11-27,kimberlyhoward@example.org,"08610 Dodson Centers, East Erin, NE 78600"
897797,767097,589-53-5650,Austin,Arroyo,1,1924-05-27,anna71@example.org,"50329 Turner Prairie Apt. 415, East Rogerbury, AZ 40306"
442844,830165,679-23-8426,William,Williams,4,1950-04-16,robert54@example.com,"1980 Brennan Mews, Michaelburgh, MP 25610"
275290,770698,009-48-0752,Theresa,Carter,4,1998-01-19,carlosperez@example.com,"732 Taylor Stream, West Lisa, DC 23781"
206099,654726,621-06-8575,Melanie,Carney,4,2000-12-11,hernandezgary@example.com,"08199 Reed Forges Apt. 384, Lake Deborahstad, MI 81731"
458094,770698,605-13-0363,Jose,Walter,0,1990-09-26,tsmith@example.org,"001 Gordon Mountains, Campbellstad, KS 40914"
486878,770272,505-64-8116,Jesse,Delacruz,2,1944-09-28,daniel88@example.com,"8862 Simmons Plains, Lake Troyton, CO 86883"
195515,105330,396-55-6197,Aaron,Hopkins,2,1918-01-31,daniellephillips@example.org,"73870 Gonzalez Villages, Ericksonville, KY 38564"
409494,877904,343-86-7829,Andrea,Richardson,0,1999-12-23,kempcynthia@example.com,"04514 Kevin Unions Suite 026, West Cathyton, LA 97112"
521470,575015,107-44-0911,Raymond,Ballard,1,1930-03-26,scottbaxter@example.org,"09150 Steven Land Apt. 659, South Johnburgh, NE 95011"
809615,830165,446-12-0113,Karla,Pace,1,2002-11-30,paulcarroll@example.org,"68113 Johnson Unions, Priceborough, AK 90851"
379301,714099,132-98-7393,Susan,Dodson,1,1991-04-07,vthomas@example.org,"0228 Stevens Manors Apt. 513, Thompsonberg, VA 32442"
960075,990824,413-73-2324,Amanda,Murphy,3,1955-09-21,jonathangraves@example.org,"4745 Andre Dam Suite 274, Mooremouth, ND 44591"
989860,830165,158-38-9594,Chris,Francis,3,2001-10-24,kellymorton@example.net,"1317 Dorothy Extensions Suite 570, South Erica, KY 40413"
450468,448553,539-94-5010,Raymond,Howard,4,1982-11-11,amanda06@example.com,"Unit 6231 Box 0733, DPO AP 24183"
894472,105330,121-08-9597,Janet,Koch,1,2011-07-31,lrobertson@example.com,"27769 Gay Prairie Suite 939, South Cindy, CO 46735"
621438,575015,751-07-1467,Melinda,Smith,1,2004-08-24,emclaughlin@example.net,"Unit 4743 Box 3928, DPO AP 54118"
589035,442296,588-87-9148,Alicia,Keller,1,1922-11-28,bartlettwesley@example.net,"USNV Gray, FPO AA 51072"
132481,132243,878-10-9140,Christopher,Rivera,0,2000-10-07,jillacosta@example.org,"03684 Melinda Route Apt. 853, North Kathleenborough, NC 07743"
903583,347496,594-16-7936,Erica,Wong,3,1952-02-29,derekgrimes@example.net,"907 Mata Knolls Apt. 634, Hodgesbury, NY 15947"
844071,783284,374-10-5094,Emily,Thompson,4,1981-12-10,macdonaldjeremy@example.net,"571 Mayer Corner, Haleville, WA 38369"
142990,925024,722-91-2221,Lindsay,Powers,4,1991-07-07,alyssa98@example.com,"23884 Jeffrey Forge, South Sandrastad, MT 46993"
244671,594553,598-42-0182,Jerry,Fowler,4,1985-05-10,johntaylor@example.org,"5386 Zimmerman Shoal, Port Kristenhaven, GA 30234"
586469,767097,673-24-3015,Keith,Rivera,4,2004-06-13,ttownsend@example.com,"228 Evans Drive, East Virginiafort, MA 53500"
183248,486559,316-64-1608,Albert,Roberson,2,1994-09-23,robertsjonathan@example.com,"1859 Carlos Coves, New Bruce, NM 57386"
513348,365793,378-42-1253,Tanya,Anderson,1,1946-12-20,cynthiawilson@example.com,"93372 Casey Ports Suite 026, Claudiastad, KY 60060"
229171,770272,853-62-6911,Carrie,Turner,4,1948-04-02,victoriaquinn@example.net,"88227 Nelson Fall Apt. 643, Keithfort, ME 73995"
842303,540749,798-50-9184,William,Chan,1,1961-02-28,stephanieking@example.net,"85072 Sarah Alley Suite 409, Port Emily, MI 01584"
164035,365793,599-25-7701,Elizabeth,Franklin,2,1913-03-31,shawnstephens@example.org,"90922 Tracey Islands, Robynside, NV 65234"
280165,872723,393-19-4294,Douglas,Hansen,2,1955-10-31,kevinclark@example.com,"36792 Tracy Vista, South Lynn, CA 60324"
428759,219023,875-96-3429,Jose,Logan,3,1995-03-28,mossjeffrey@example.net,"051 Joseph Brook Apt. 747, West Micheal, PA 90760"
778299,925024,602-39-7662,Peter,Clark,1,1945-04-02,carrollshannon@example.org,"388 Bell Ports Suite 960, Mitchellside, MN 81036"
482577,726858,174-07-0990,Jessica,Wise,2,2008-06-15,smithrobert@example.net,"41733 Michael Ports Suite 211, Dorothyfort, IN 29153"
334822,127534,409-45-7772,Marvin,Tran,2,1929-03-06,marymiller@example.com,"725 John Crescent, Port Amy, VA 82220"
365653,448553,604-01-6591,Carolyn,Everett,3,1927-07-12,thomaslindsey@example.net,"2126 Phillips Square, Ryanhaven, TX 81545"
782967,925024,534-55-2407,Justin,Elliott,0,1968-12-04,riggspamela@example.net,"75116 Stewart Turnpike, Port Shelleystad, NJ 32654"
138803,969190,302-02-4574,Kevin,Solis,3,1988-01-31,johnsonchristopher@example.com,"7582 Christie Rapid Suite 951, Bradleyville, IL 88993"
412846,767097,231-80-4373,David,Johnson,2,1999-10-10,racheldaniels@example.org,"97330 Kimberly Groves Apt. 454, South Kenneth, VA 47859"
703664,320249,204-96-1631,Aaron,Hill,0,2008-08-06,kmorris@example.org,"7178 Cindy Field, Hallmouth, NY 44227"
326734,906983,247-53-2048,Roberto,Baker,1,1961-12-28,cassandra71@example.com,"9314 Amanda Field, Helenstad, ID 43972"
573625,231750,517-34-0546,Sarah,Lester,1,1920-09-30,fdalton@example.net,"USNS Stevens, FPO AP 44152"
754046,906983,054-43-6166,Joshua,Scott,2,1911-04-28,kellyhughes@example.net,"1291 Whitaker Creek, West Jessicabury, ME 92730"
191591,322371,398-09-1863,Alexander,Page,3,1917-05-23,rodriguezjennifer@example.org,"6601 Odonnell Fields, Stewartport, SC 16450"
357150,925024,078-23-6664,Benjamin,Avila,1,1914-11-11,cbrewer@example.net,"95849 Christian Ridges, Port Christopherside, AR 03337"
930606,231750,369-39-0767,James,Vincent,1,1981-03-03,wrightjennifer@example.net,"97304 White Shores Suite 251, Lake Keith, MH 75499"
368192,132518,466-51-6454,Teresa,Mills,1,1932-06-08,usmith@example.org,"80174 Hayes Run Suite 801, Karlaburgh, SD 13630"
692232,767097,789-10-8257,David,Park,3,2024-09-20,kbooth@example.com,"805 Arnold Well Suite 545, Kingmouth, AS 90880"
394174,734574,360-99-2176,Christine,Williams,4,1925-06-17,markklein@example.net,"202 Williams Shoals Apt. 960, West Kevinport, IN 08917"
718116,654726,336-09-9626,Ernest,Simon,4,1920-07-27,crobinson@example.org,"48552 Dustin Flat Apt. 514, Martinezstad, MP 14160"
554640,906983,095-52-5594,Eugene,Kelly,2,1948-05-22,bbailey@example.org,"2701 Andrew Brooks, Dayview, DC 06725"
755565,744463,235-34-6567,Dean,Garcia,4,1927-08-23,garciajulie@example.org,"418 John Union, East Kaylaborough, DC 83154"
249961,830165,671-40-3399,Victoria,Cummings,2,1955-01-03,jessica23@example.org,"43384 Ward Spur Suite 915, South Robertville, MI 57722"
125230,365793,518-78-6843,Eileen,Middleton,1,1944-06-01,xdouglas@example.org,"02718 Jerry Estate Apt. 776, East Kimberlyfurt, IL 81240"
749906,347496,292-96-6368,Jennifer,Fisher,2,2010-11-14,rachael81@example.com,"019 Brown Mission, Robertfurt, PR 72978"
344931,789892,711-21-8182,Katie,Anderson,1,2020-10-12,lindsaytorres@example.net,"Unit 7655 Box 7914, DPO AP 15725"
875061,623350,530-62-0154,Kimberly,Wells,1,1911-12-24,goodwindanielle@example.com,"9693 Victoria Courts Suite 275, New Elijah, MA 63796"
785759,132243,484-85-5113,Kayla,Johnson,0,1913-04-01,robert96@example.org,"5444 Jacqueline Shores, South Maria, NE 70579"
214901,830165,160-62-4479,Michele,Love,0,1973-08-18,lrollins@example.com,"2215 Friedman Park, Sheltonville, DC 01702"
355327,714099,310-40-6761,Andrea,Rush,0,2003-01-24,sandrabrown@example.net,"Unit 5061 Box 6299, DPO AE 29713"
158969,125474,394-39-9626,Linda,Lee,3,1941-02-21,walter73@example.org,"4559 Jennings Vista, Lyonsmouth, CO 21443"
835975,517230,361-10-7947,Amy,Macdonald,3,2009-04-14,umccall@example.net,"53582 Stephen Square, Joyceside, VI 60900"
359179,132243,204-50-5899,Jeffrey,Caldwell,4,1987-07-16,martinezdarrell@example.net,"PSC 3565, Box 2152, APO AA 06522"
947008,770698,437-13-2614,Edward,Young,0,1984-05-02,smithsharon@example.com,"387 Johnson Vista, New Kyliefurt, MI 55030"
770540,872723,404-49-5977,Judy,Reyes,2,1953-05-23,brenda70@example.org,"USNV Lynch, FPO AE 09356"
810693,566186,854-01-1512,Julie,Fox,3,1943-11-25,ryan97@example.org,"6137 Cantu Squares Suite 481, Smithtown, AZ 28674"
319049,714099,736-93-9414,Annette,Contreras,3,1978-04-13,taylor62@example.com,"0132 Pamela Crescent, Spearstown, MS 80102"
780834,770272,804-47-3598,Jose,Zuniga,4,2005-03-25,gtaylor@example.org,"902 Sandra Skyway Suite 740, South James, IA 98540"
240896,335226,164-68-0611,Joe,Soto,4,1958-11-05,omartin@example.net,"9205 Joseph Place Suite 167, West Robin, VI 90946"
505725,783284,193-91-3450,Jessica,Johnson,2,1919-10-01,michellejones@example.net,"46760 Emily Burg, Cannonfurt, PR 39682"
450562,744463,337-94-7408,Sean,Fuller,0,1913-03-01,ocarpenter@example.com,"0966 Paula Crest Apt. 953, South Timothy, AL 31296"
765392,925024,731-97-1766,Kathleen,Ruiz,0,1921-05-27,andrewssteven@example.org,"897 Esparza Ridge, Owenstown, RI 56184"
614921,872723,870-84-9163,Billy,Garza,2,1926-07-11,samuelgoodman@example.org,"Unit 3428 Box 8520, DPO AP 95814"
674069,757267,828-77-0328,Elizabeth,Castillo,3,1999-01-12,sheryl12@example.net,"50211 Tiffany Fall, Michaelburgh, MN 09946"
